Unnamed: 0,USPS,ST,NAME,ZCTA5,LAT,LON
5909052,British Columbia,BC,Abbotsford,V4X,49.05,-122.3167
5915038,British Columbia,BC,Anmore,V3H,49.3144,-122.8564
5933019,British Columbia,BC,Ashcroft,V0K,50.7256,-121.2806
5915036,British Columbia,BC,Belcarra,V9E,50.33915724137931,-121.91979724137931
5915025,British Columbia,BC,Burnaby,V5B,49.2667,-122.9667
5933024,British Columbia,BC,Cache Creek,V9E,50.33915724137931,-121.91979724137931
5909020,British Columbia,BC,Chilliwack,V4Z,49.1577,-121.9509
5915034,British Columbia,BC,Coquitlam,V3B,49.2839,-122.7919
5915011,British Columbia,BC,Delta,V4C,49.0847,-123.0586
5909027,British Columbia,BC,Harrison Hot Springs,V0M,49.3,-121.7819
5909009,British Columbia,BC,Hope,V0X,49.3858,-121.4419
5909032,British Columbia,BC,Kent,V0M,49.2833,-121.75
5915002,British Columbia,BC,Langley,V1M,49.1044,-122.5827
5915001,British Columbia,BC,Langley,V1M,49.1044,-122.5827
5931026,British Columbia,BC,Lillooet,V0K,50.6864,-121.9364
5933015,British Columbia,BC,Lytton,V9E,50.33915724137931,-121.91979724137931
5915075,British Columbia,BC,Maple Ridge,V4R,49.2167,-122.6
5909056,British Columbia,BC,Mission,V4S,49.1337,-122.3112
5915029,British Columbia,BC,New Westminster,V3L,49.2069,-122.9111
5915070,British Columbia,BC,Pitt Meadows,V3Y,49.2333,-122.6833
5915039,British Columbia,BC,Port Coquitlam,V3B,49.2625,-122.7811
5915043,British Columbia,BC,Port Moody,V3H,49.2831,-122.8317
5915004,British Columbia,BC,Surrey,V4A,49.19,-122.8489
5915007,British Columbia,BC,White Rock,V4B,49.025,-122.8028
